"company","trip_seconds","trip_miles","fare","bestfare"
"Taxi Affiliation Service Yellow",3240,44.5,105,2.359550561797753
"Taxi Affiliation Service Yellow",1620,18.41,45.5,2.4714828897338403
"24 Seven Taxi",2820,28.3,70.25,2.4823321554770317
"Taxi Affiliation Service Yellow",1320,15,37.5,2.5
"Medallion Leasin",1140,13.5,34,2.5185185185185186
"Medallion Leasin",1380,15.1,38.25,2.533112582781457
"Taxi Affiliation Service Yellow",1800,16.6,42.25,2.545180722891566
"City Service",1200,12.6,32.25,2.5595238095238098
"Globe Taxi",2400,18.6,47.75,2.5672043010752685
"Nova Taxi Affiliation Llc",5002,13.17,34.25,2.600607441154138
"Nova Taxi Affiliation Llc",1055,9.77,25.75,2.635619242579325
"Sun Taxi",780,9.2,24.25,2.6358695652173916
"Sun Taxi",1260,12.9,34.5,2.6744186046511627
"Medallion Leasin",2340,13.5,36.5,2.7037037037037037
"Nova Taxi Affiliation Llc",1146,9.46,26,2.7484143763213527
"Sun Taxi",2040,12.8,35.25,2.75390625
"Medallion Leasin",1080,9.8,27.25,2.780612244897959
"24 Seven Taxi",1020,6.9,19.25,2.789855072463768
"Globe Taxi",1020,8.4,23.5,2.7976190476190474
"Taxi Affiliation Service Yellow",1080,7.58,21.25,2.8034300791556728
"City Service",1860,9.5,26.75,2.8157894736842106
"Taxi Affiliation Service Yellow",1020,7.9,22.25,2.8164556962025316
"Chicago Carriage Cab Corp",979,8.02,22.75,2.8366583541147135
"Chicago Independents",1920,9.5,27.75,2.9210526315789473
"Sun Taxi",540,5,14.75,2.95
"Sun Taxi",1860,8.1,24.25,2.993827160493827
"Sun Taxi",600,5,15,3
"Taxi Affiliation Service Yellow",1140,5.6,17,3.035714285714286
"City Service",1560,7.4,22.5,3.0405405405405403
"Medallion Leasin",540,4.4,13.5,3.068181818181818
"Sun Taxi",960,4.8,15,3.125
"Chicago Taxicab",1920,7.5,23.75,3.1666666666666665
"Taxi Affiliation Service Yellow",1800,6.7,21.25,3.171641791044776
"Taxi Affiliation Service Yellow",1740,7,22.5,3.2142857142857144
"City Service",720,3.6,12.25,3.4027777777777777
"Patriot Taxi Dba Peace Taxi Associat",1020,3.79,13.25,3.496042216358839
"Sun Taxi",1080,4.2,14.75,3.511904761904762
"Blue Diamond",420,2.7,9.5,3.518518518518518
"Sun Taxi",1020,4,14.25,3.5625
"Nova Taxi Affiliation Llc",734,2.83,10.25,3.6219081272084805
"Sun Taxi",540,2.7,10,3.7037037037037033
"Checker Taxi Affiliation",840,2.88,11.5,3.993055555555556
"Chicago Carriage Cab Corp",558,2.28,9.5,4.166666666666667
"Nova Taxi Affiliation Llc",294,1.26,6.25,4.9603174603174605
"Globe Taxi",480,1.4,7.25,5.178571428571429
"Globe Taxi",660,1.6,8.5,5.3125
"Chicago Carriage Cab Corp",268,1.06,5.75,5.4245283018867925
"Peace Taxi Assoc",360,1.2,6.75,5.625
"Gold Coast Taxi",180,1,5.75,5.75
"Sun Taxi",120,0.9,5.25,5.833333333333333
"Checker Taxi Affiliation",180,0.9,5.25,5.833333333333333
"Taxi Affiliation Service Yellow",300,0.94,5.5,5.851063829787234
"Taxi Affiliation Service Yellow",360,1,6,6
"Sun Taxi",300,0.9,5.75,6.388888888888888
"Globe Taxi",180,0.8,5.25,6.5625
"Sun Taxi",540,1.1,7.5,6.8181818181818175
"Chicago Carriage Cab Corp",345,0.75,5.75,7.666666666666667
"Chicago Carriage Cab Corp",216,0.65,5,7.692307692307692
"Taxi Affiliation Service Yellow",240,0.6,5,8.333333333333334
"Taxi Affiliation Service Yellow",360,0.65,5.5,8.461538461538462
"City Service",60,0.5,4.25,8.5
"Sun Taxi",120,0.5,4.25,8.5
"Sun Taxi",120,0.5,4.5,9
"Sun Taxi",120,0.5,4.5,9
"Nova Taxi Affiliation Llc",462,0.68,6.5,9.558823529411764
"Chicago Carriage Cab Corp",1786,1.48,14.5,9.797297297297298
"Taxi Affiliation Service Yellow",240,0.5,5,10
"Globe Taxi",420,0.5,6,12
"Sun Taxi",840,0.5,8.25,16.5
"City Service",60,0.2,3.75,18.75
"Sun Taxi",180,0.2,4.25,21.25
"Sun Taxi",1320,0.5,11.25,22.5
"Patriot Taxi Dba Peace Taxi Associat",180,0.18,4.25,23.61111111111111
"Taxi Affiliation Service Yellow",60,0.1,3.25,32.5
"Taxi Affiliation Service Yellow",60,0.1,3.5,35
"Nova Taxi Affiliation Llc",10,0.05,3.25,65
