"trip_start_timestamp","trip_end_timestamp","time","trip_seconds","trip_miles","weather","wind","visibility"
"2016-11-11 17:00:00","2016-11-11 17:00:00","2016-11-11 16:53:00",10,0.05,"Passing clouds",30,16
"2016-11-11 17:00:00","2016-11-11 17:00:00","2016-11-11 16:53:00",10,0.05,"Passing clouds",30,16
"2016-11-11 17:00:00","2016-11-11 17:00:00","2016-11-11 17:53:00",10,0.05,"Passing clouds",35,16
"2016-11-11 17:00:00","2016-11-11 17:00:00","2016-11-11 17:53:00",10,0.05,"Passing clouds",35,16
"2016-11-13 02:30:00","2016-11-13 02:30:00","2016-11-13 02:53:00",60,0.1,"Clear",15,16
"2016-11-13 02:30:00","2016-11-13 02:30:00","2016-11-13 02:53:00",60,0.1,"Clear",15,16
"2016-11-17 11:30:00","2016-11-17 11:30:00","2016-11-17 11:53:00",60,0.2,"Partly sunny",28,16
"2016-11-17 11:30:00","2016-11-17 11:30:00","2016-11-17 11:53:00",60,0.2,"Partly sunny",28,16
"2016-11-16 00:30:00","2016-11-16 00:30:00","2016-11-16 00:53:00",60,0.1,"Clear",0,13
"2016-11-16 00:30:00","2016-11-16 00:30:00","2016-11-16 00:53:00",60,0.1,"Clear",0,13
"2016-11-17 11:30:00","2016-11-17 11:30:00","2016-11-17 10:53:00",60,0.2,"Partly sunny",22,16
"2016-11-17 11:30:00","2016-11-17 11:30:00","2016-11-17 10:53:00",60,0.2,"Partly sunny",22,16
"2016-11-16 00:30:00","2016-11-16 00:30:00","2016-11-15 23:53:00",60,0.1,"Passing clouds",6,14
"2016-11-16 00:30:00","2016-11-16 00:30:00","2016-11-15 23:53:00",60,0.1,"Passing clouds",6,14
"2016-11-13 01:15:00","2016-11-13 01:15:00","2016-11-13 00:53:00",60,0.5,"Passing clouds",13,16
"2016-11-13 01:15:00","2016-11-13 01:15:00","2016-11-13 01:53:00",60,0.5,"Passing clouds",20,16
"2016-11-13 01:15:00","2016-11-13 01:15:00","2016-11-13 00:53:00",60,0.5,"Passing clouds",13,16
"2016-11-13 01:15:00","2016-11-13 01:15:00","2016-11-13 01:53:00",60,0.5,"Passing clouds",20,16
"2016-11-13 02:30:00","2016-11-13 02:30:00","2016-11-13 01:53:00",60,0.1,"Passing clouds",20,16
"2016-11-13 02:30:00","2016-11-13 02:30:00","2016-11-13 01:53:00",60,0.1,"Passing clouds",20,16
"2016-11-13 03:30:00","2016-11-13 03:30:00","2016-11-13 02:53:00",120,0.5,"Clear",15,16
"2016-11-13 03:30:00","2016-11-13 03:30:00","2016-11-13 03:53:00",120,0.5,"Clear",13,16
"2016-11-19 00:15:00","2016-11-19 00:15:00","2016-11-19 00:53:00",120,0.5,"Drizzle Mostly cloudy",24,16
"2016-11-19 00:15:00","2016-11-19 00:15:00","2016-11-19 00:53:00",120,0.5,"Drizzle Mostly cloudy",24,16
"2016-11-19 00:15:00","2016-11-19 00:15:00","2016-11-18 23:53:00",120,0.5,"Drizzle Overcast",30,16
"2016-11-19 00:15:00","2016-11-19 00:15:00","2016-11-18 23:53:00",120,0.5,"Drizzle Overcast",30,16
"2016-11-17 01:30:00","2016-11-17 01:30:00","2016-11-17 01:53:00",120,0.9,"Fog",13,10
"2016-11-17 01:30:00","2016-11-17 01:30:00","2016-11-17 01:53:00",120,0.9,"Fog",13,10
"2016-11-17 01:30:00","2016-11-17 01:30:00","2016-11-17 00:53:00",120,0.9,"Fog",11,10
"2016-11-17 01:30:00","2016-11-17 01:30:00","2016-11-17 00:53:00",120,0.9,"Fog",11,10
"2016-11-17 00:00:00","2016-11-17 00:00:00","2016-11-17 00:53:00",120,0.5,"Fog",11,10
"2016-11-17 00:00:00","2016-11-17 00:00:00","2016-11-17 00:53:00",120,0.5,"Fog",11,10
"2016-11-17 00:00:00","2016-11-17 00:00:00","2016-11-16 23:53:00",120,0.5,"Passing clouds",9,11
"2016-11-17 00:00:00","2016-11-17 00:00:00","2016-11-16 23:53:00",120,0.5,"Passing clouds",9,11
"2016-11-13 03:30:00","2016-11-13 03:30:00","2016-11-13 02:53:00",120,0.5,"Clear",15,16
"2016-11-13 03:30:00","2016-11-13 03:30:00","2016-11-13 03:53:00",120,0.5,"Clear",13,16
"2016-11-06 02:15:00","2016-11-06 02:15:00","2016-11-06 01:53:00",180,1,"Clear",7,16
"2016-11-06 02:15:00","2016-11-06 02:15:00","2016-11-06 01:53:00",180,1,"Clear",7,16
"2016-11-06 02:15:00","2016-11-06 02:15:00","2016-11-06 02:53:00",180,1,"Clear",0,16
"2016-11-06 02:15:00","2016-11-06 02:15:00","2016-11-06 02:53:00",180,1,"Clear",0,16
"2016-11-14 15:15:00","2016-11-14 15:30:00","2016-11-14 14:53:00",180,0.18,"More clouds than sun",24,16
"2016-11-14 15:15:00","2016-11-14 15:30:00","2016-11-14 14:53:00",180,0.18,"More clouds than sun",24,16
"2016-11-14 15:15:00","2016-11-14 15:30:00","2016-11-14 15:53:00",180,0.18,"Broken clouds",13,16
"2016-11-14 15:15:00","2016-11-14 15:30:00","2016-11-14 15:53:00",180,0.18,"Broken clouds",13,16
"2016-11-14 17:00:00","2016-11-14 17:00:00","2016-11-14 16:53:00",180,0.2,"Passing clouds",7,16
"2016-11-14 17:00:00","2016-11-14 17:00:00","2016-11-14 16:53:00",180,0.2,"Passing clouds",7,16
"2016-11-14 17:00:00","2016-11-14 17:00:00","2016-11-14 17:53:00",180,0.2,"Partly cloudy",7,16
"2016-11-14 17:00:00","2016-11-14 17:00:00","2016-11-14 17:53:00",180,0.2,"Partly cloudy",7,16
"2016-11-18 03:45:00","2016-11-18 03:45:00","2016-11-18 02:53:00",180,0.8,"Passing clouds",20,16
"2016-11-18 03:45:00","2016-11-18 03:45:00","2016-11-18 02:53:00",180,0.8,"Passing clouds",20,16
"2016-11-18 03:45:00","2016-11-18 03:45:00","2016-11-18 03:53:00",180,0.8,"Passing clouds",20,16
"2016-11-18 03:45:00","2016-11-18 03:45:00","2016-11-18 03:53:00",180,0.8,"Passing clouds",20,16
"2016-11-19 00:00:00","2016-11-19 00:15:00","2016-11-18 23:53:00",180,0.9,"Drizzle Overcast",30,16
"2016-11-19 00:00:00","2016-11-19 00:15:00","2016-11-18 23:53:00",180,0.9,"Drizzle Overcast",30,16
"2016-11-19 00:00:00","2016-11-19 00:15:00","2016-11-19 00:53:00",180,0.9,"Drizzle Mostly cloudy",24,16
"2016-11-19 00:00:00","2016-11-19 00:15:00","2016-11-19 00:53:00",180,0.9,"Drizzle Mostly cloudy",24,16
"2016-11-15 01:00:00","2016-11-15 01:00:00","2016-11-15 00:53:00",216,0.65,"Passing clouds",9,14
"2016-11-15 01:00:00","2016-11-15 01:00:00","2016-11-15 00:53:00",216,0.65,"Passing clouds",9,14
"2016-11-15 01:00:00","2016-11-15 01:00:00","2016-11-15 01:53:00",216,0.65,"Passing clouds",0,14
"2016-11-15 01:00:00","2016-11-15 01:00:00","2016-11-15 01:53:00",216,0.65,"Passing clouds",0,14
"2016-11-14 05:00:00","2016-11-14 05:00:00","2016-11-14 04:53:00",240,0.6,"Passing clouds",15,16
